name,location,trade,grade_type,attribution,url
北京大学第一医院,北京市,公立医院,三甲,综合医院,https://www.pkufh.com
北京大学人民医院,北京市,公立医院,三甲,综合医院,https://h.bohe.cn
北京积水潭医院,北京市,公立医院,三甲,综合医院,https://www.jst-hosp.com.cn/Html/Index.html
北京市第一中西医结合医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京协和医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京中医药大学东直门医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
解放军总医院第七医学中心,北京市,公立医院,三甲,综合医院,https://www.ccmu.edu.cn
首都医科大学附属北京安贞医院,北京市,公立医院,三甲,综合医院,https://www.anzhen.org
首都医科大学附属北京世纪坛医院,北京市,公立医院,三甲,综合医院,https://www.bjtth.org
首都医科大学附属北京天坛医院,北京市,公立医院,三甲,综合医院,https://www.bjtth.org
首都医科大学附属北京同仁医院,北京市,公立医院,三甲,综合医院,https://www.trhos.com
首都医科大学附属北京友谊医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
首都医科大学附属北京朝阳医院,北京市,公立医院,三甲,综合医院,https://www.ccmu.edu.cn
首都医科大学宣武医院,北京市,公立医院,三甲,综合医院,https://xyk.xwhosp.com.cn
中日友好医院,北京市,公立医院,三甲,综合医院,https://lib.zryhyy.com.cn
北京大学第一医院大兴南院区,北京市,公立医院,三甲,综合医院,https://y.dxy.cn
北京地坛医院顺义院区,北京市,公立医院,三甲,综合医院,https://y.dxy.cn
北京积水潭医院回龙观院区,北京市,公立医院,三甲,综合医院,https://www.jst-hosp.com.cn
北京市第六医院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京市肛肠医院,北京市,公立医院,三甲,综合医院,https://www.ellhospital.com
北京协和医院西院,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京友谊医院顺义院区,北京市,公立医院,三甲,综合医院,http://www.bjygzx.org.cn
北京朝阳医院京西院区,北京市,公立医院,三甲,综合医院,https://www.bohe.cn
北京中医药大学第三附属医院,北京市,公立医院,三甲,综合医院,https://www.zydsy.com
北京中医药大学东方医院,北京市,公立医院,三甲,综合医院,https://www.dongfangyy.com.cn
北京中医药大学东方医院西院区,北京市,公立医院,三甲,综合医院,https://www.dongfangyy.com.cn
北京中医药大学东直门医院东区,北京市,公立医院,三甲,综合医院,https://www.dzmyy.com.cn
解放军总医院第八医学中心,北京市,公立医院,三甲,综合医院,https://www.301hospital.com.cn
解放军总医院第六医学中心,北京市,公立医院,三甲,综合医院,http://www.hjzyy.mil.cn
解放军总医院第七医学中心东区,北京市,公立医院,三甲,综合医院,https://dxy.com
解放军总医院第三医学中心,北京市,公立医院,三甲,综合医院,https://www.301hospital.com.cn
解放军总医院第四医学中心,北京市,公立医院,三甲,综合医院,https://www.301hospital.com.cn
首都医科大学附属北京同仁医院南区,北京市,公立医院,三甲,综合医院,https://www.trhos.com
武警北京市总队第二医院,北京市,公立医院,三甲,综合医院,https://health.baidu.com
武警北京市总队医院,北京市,公立医院,三甲,综合医院,
战略支援部队特色医学中心,北京市,公立医院,三甲,综合医院,
中国人民解放军第三0六医院,北京市,公立医院,三甲,综合医院,
中国人民解放军第三〇七医院,北京市,公立医院,三甲,综合医院,
中国人民解放军火箭军总医院,北京市,公立医院,三甲,综合医院,
中国人民解放军空军航空医学研究所附属医院,北京市,公立医院,三甲,综合医院,
中国人民解放军空军总医院,北京市,公立医院,三甲,综合医院,
中国人民解放军总医院,北京市,公立医院,三甲,综合医院,
中国中医科学院广安门医院,北京市,公立医院,三甲,综合医院,
中国中医科学院西苑医院,北京市,公立医院,三甲,综合医院,
北京市平谷区中医医院,北京市,公立医院,三甲,专科医院,
首都儿科研究所附属儿童医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京地坛医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京儿童医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京胸科医院,北京市,公立医院,三甲,专科医院,
中国医学科学院阜外医院,北京市,公立医院,三甲,专科医院,
中国医学科学院整形外科医院,北京市,公立医院,三甲,专科医院,
北京大学第六医院,北京市,公立医院,三甲,专科医院,
北京大学肿瘤医院,北京市,公立医院,三甲,专科医院,
北京回龙观医院,北京市,公立医院,三甲,专科医院,
北京结核病控制研究所,北京市,公立医院,三甲,专科医院,
北京军区总医院附属八一儿童医院,北京市,公立医院,三甲,专科医院,
北京市昌平区中西医结合医院,北京市,公立医院,三甲,专科医院,
北京市昌平区中医医院,北京市,公立医院,三甲,专科医院,
北京市第一中西医结合医院东坝院区,北京市,公立医院,三甲,专科医院,
北京市房山区中医医院,北京市,公立医院,三甲,专科医院,
北京市丰台中西医结合医院,北京市,公立医院,三甲,专科医院,
北京市和平里医院,北京市,公立医院,三甲,专科医院,
北京市护国寺中医院,北京市,公立医院,三甲,专科医院,
北京市急救中心,北京市,公立医院,三甲,专科医院,
北京中医医院,北京市,公立医院,三甲,专科医院,
解放军总医院第五医学中心,北京市,公立医院,三甲,专科医院,
首都儿科研究所廊坊儿童医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京安定医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京妇产医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京口腔医院,北京市,公立医院,三甲,专科医院,
首都医科大学附属北京佑安医院,北京市,公立医院,三甲,专科医院,
中国康复研究中心,北京市,公立医院,三甲,专科医院,
中国人民解放军第三〇五医院,北京市,公立医院,三甲,专科医院,
中国医学科学院肿瘤医院,北京市,公立医院,三甲,专科医院,
中国中医科学院望京医院,北京市,公立医院,三甲,专科医院,
中国中医科学院眼科医院,北京市,公立医院,三甲,专科医院,
武警北京总队第三医院,北京市,公立医院,三乙,综合医院,
中国人民解放军联勤保障部队第九八四医院,北京市,公立医院,三乙,综合医院,
